image,xmin,ymin,xmax,ymax,label
image_bathroom_chat_1.png,119.698189134809,574.841628959276,224.004024144869,708.054298642534,bathroom
image_bathroom_door_1.png,289.195171026157,582.081447963801,403.64185110664,695.022624434389,bathroom
image_bathroom_door_10.png,218.209255533199,540.090497737557,367.424547283702,710.950226244344,bathroom
image_bathroom_door_100.png,109.557344064386,587.873303167421,221.106639839034,718.190045248869,bathroom
image_bathroom_door_101.png,196.478873239437,542.986425339367,316.72032193159,686.334841628959,bathroom
image_bathroom_door_102.png,373.219315895372,583.529411764706,534.024144869215,755.837104072398,bathroom
image_bathroom_door_103.png,260.221327967807,637.10407239819,402.193158953722,793.484162895928,bathroom
image_bathroom_door_104.png,184.889336016097,611.0407239819,365.975855130785,823.891402714932,bathroom
image_bathroom_door_106.png,243.380281690141,532.850678733032,399.295774647887,737.013574660633,bathroom
image_bathroom_door_113.png,184.889336016097,473.484162895928,299.336016096579,631.31221719457,bathroom
image_bathroom_chat_10.png,71.8913480885312,596.561085972851,179.094567404427,723.981900452489,bathroom
image_bathroom_chat_100.png,151.569416498994,618.280542986425,334.1046277666,822.443438914027,bathroom
image_bathroom_chat_101.png,144.325955734406,598.009049773756,325.412474849095,805.067873303168,bathroom
image_bathroom_chat_102.png,147.223340040241,595.113122171946,326.861167002012,802.171945701357,bathroom
image_bathroom_chat_103.png,155.915492957746,600.904977375566,335.553319919517,806.515837104073,bathroom
image_bathroom_chat_104.png,163.158953722334,595.113122171946,345.69416498994,796.380090497738,bathroom
image_bathroom_chat_105.png,145.774647887324,593.665158371041,316.72032193159,797.828054298642,bathroom
image_bathroom_chat_106.png,131.287726358149,615.384615384615,299.336016096579,813.755656108597,bathroom
image_bathroom_chat_107.png,121.146881287726,569.049773755656,293.541247484909,777.556561085973,bathroom
image_bathroom_chat_108.png,125.492957746479,605.248868778281,302.233400402414,810.859728506788,bathroom
image_bathroom_chat_109.png,103.762575452716,632.760180995475,277.605633802817,838.371040723982,bathroom
image_bathroom_chat_11.png,93.6217303822938,611.0407239819,199.376257545272,737.013574660633,bathroom
image_bathroom_chat_110.png,95.0704225352113,606.696832579186,264.567404426559,807.963800904977,bathroom
image_bathroom_chat_111.png,124.044265593561,622.62443438914,297.887323943662,828.235294117647,bathroom
image_bathroom_chat_112.png,145.774647887324,602.352941176471,323.963782696177,806.515837104072,bathroom
image_bathroom_chat_113.png,151.569416498994,582.081447963801,325.412474849095,812.307692307692,bathroom
image_bathroom_chat_114.png,147.223340040241,593.665158371041,323.963782696177,819.547511312217,bathroom
image_bathroom_chat_115.png,153.018108651911,584.977375565611,332.655935613682,806.515837104072,bathroom
image_bathroom_chat_116.png,135.633802816901,595.113122171946,316.72032193159,826.787330316742,bathroom
image_bathroom_chat_117.png,150.120724346076,602.352941176471,329.758551307847,823.891402714932,bathroom
image_bathroom_chat_118.png,183.440643863179,650.135746606335,355.835010060362,870.226244343891,bathroom
image_bathroom_chat_119.png,248.631790744467,632.760180995475,425.372233400402,847.058823529412,bathroom
image_bathroom_chat_12.png,108.108651911469,642.89592760181,213.863179074447,777.556561085973,bathroom
image_bathroom_chat_120.png,224.004024144869,655.927601809955,393.501006036217,865.882352941176,bathroom
image_bathroom_chat_121.png,186.338028169014,644.343891402715,344.245472837022,849.954751131222,bathroom
image_bathroom_chat_122.png,202.273641851107,664.615384615385,361.629778672032,858.642533936652,bathroom
image_bathroom_chat_123.png,247.183098591549,673.303167420815,405.090543259557,860.090497737557,bathroom
image_bathroom_chat_124.png,286.297786720322,637.10407239819,445.653923541247,836.923076923077,bathroom
image_bathroom_chat_125.png,280.503018108652,628.41628959276,442.756539235413,806.515837104072,bathroom
